NAME_2,STATE_NA_1,Land resource area,Pasture_grassland_mean_npp(gC/m2/yr),Grassland/Pasture NPP percetage of LRRs,HANPP_grazing(gC/m2/yr)Site_speific,Grassland/Pasture area_Acres,Grassland/Pasture area_m2,HANPP_grazing_Tonnes(Site specific),County_Area_m2,HANPP_grazing_gC/m2/yr(County),HANPP_grazing_Tonnes(County)
Baker,Florida,"Atlantic , gulf coast lowland",463.241431,9.68,44.84177052,19662.4,79570980.06,3568.103628,1524800000,2.340046975,3568.103628
Bradford,Florida,"Atlantic , gulf coast lowland",512.412773,9.68,49.60155643,17770.2,71913511.57,3567.022102,778265024,4.583300023,3567.022102
Columbia,Florida,"Atlantic , gulf coast lowland",478.18989,9.68,46.28878135,41510.9,167988800.8,7775.996869,2075430016,3.746691919,7775.996869
Dixie,Florida,"Atlantic , gulf coast lowland",665.606924,9.68,64.43075024,12096.3,48952032.62,3154.016188,1865069952,1.691098065,3154.016188
Duval,Florida,"Atlantic , gulf coast lowland",525.782188,9.68,50.8957158,8930,36138459.8,1839.292779,2200229888,0.83595482,1839.292779
Franklin,Florida,"Atlantic , gulf coast lowland",644.427146,9.68,62.38054773,812.6,3288478.436,205.137086,1468440064,0.139697282,205.137086
Gulf,Florida,"Atlantic , gulf coast lowland",530.086484,9.68,51.31237165,1376,5568479.36,285.7318825,1476950016,0.193460767,285.7318825
Gilchrist,Florida,"Atlantic , gulf coast lowland",573.919151,9.68,55.55537382,23875.8,96622019.99,5367.872439,919804992,5.83588096,5367.872439
Liberty,Florida,"Atlantic , gulf coast lowland",427.285108,9.68,41.36119845,20898.6,84573708.4,3498.069937,2183879936,1.60176843,3498.069937
Nassau,Florida,"Atlantic , gulf coast lowland",472.613284,9.68,45.74896589,18371.4,74346483.8,3401.274752,1735440000,1.959891873,3401.274752
Levy,Florida,"Atlantic , gulf coast lowland",547.268993,9.68,52.97563852,56047.2,226815171.8,12015.67855,2996620032,4.009743786,12015.67855
Wakulla,Florida,"Atlantic , gulf coast lowland",680.166597,9.68,65.84012659,6679.8,27032215.43,1779.804486,1633149952,1.089798572,1779.804486
Union,Florida,"Atlantic , gulf coast lowland",483.678221,9.68,46.82005179,12710.5,51437614.03,2408.311753,647060992,3.721923872,2408.311753
Chatham,Georgia,"Atlantic , gulf coast lowland",510.523,9.68,49.4186264,1469.1,5945242.026,293.8056945,1277040000,0.23006773,293.8056945
Screven,Georgia,"Atlantic , gulf coast lowland",653.114452,9.68,63.22147895,13111.9,53062023.63,3354.65961,1698360064,1.975234629,3354.65961
Brantley,Georgia,"Atlantic , gulf coast lowland",473.417188,9.68,45.8267838,20104.7,81360906.24,3728.50866,1158390016,3.218698891,3728.50866
Bryan,Georgia,"Atlantic , gulf coast lowland",511.755575,9.68,49.53793966,7159.6,28973898.86,1435.307253,1172019968,1.224644027,1435.307253
Appling,Georgia,"Atlantic , gulf coast lowland",654.762077,9.68,63.38096905,12346,49962533.56,3166.673793,1326419968,2.387383988,3166.673793
Atkinson,Georgia,"Atlantic , gulf coast lowland",604.764697,9.68,58.54122267,3109.3,12582901.8,736.618456,893307008,0.824597198,736.618456
Bacon,Georgia,"Atlantic , gulf coast lowland",684.26595,9.68,66.23694396,5000.8,20237537.49,1340.472636,740243008,1.810854844,1340.472636
Camden,Georgia,"Atlantic , gulf coast lowland",505.889564,9.68,48.9701098,10170.6,41158994.32,2015.560471,1776169984,1.134779041,2015.560471
