,,,,,Tonnes C,Tonnes C,Tonnes C,Tonnes C,Tonnes C,Tonnes C,Tonnes C,Tonnes C,Tonnes C,Tonnes C,Tonnes C,Tonnes C,Tonnes C,Tonnes C,Tonnes C,Tonnes C,Tonnes C,Tonnes C,Tonnes C,Tonnes C,Tonnes C,gC/m2/yr County Density,,gC/m2/yr County Density,,gC/m2/yr County Density,,gC/m2/yr County Density,,gC/m2/yr County Density,,gC/m2/yr County Density,,gC/m2/yr County Density,,gC/m2/yr County Density,,gC/m2/yr County Density,,gC/m2/yr County Density,,gC/m2/yr County Density,gC/m2/yr ,
County,State,ID,Year,Area m2,Alfalfa,Corn Grain,Corn Silage,Cotton Pima,Cotton Upland,Haylage,Sorghum,Soybeans,Wheat Winter,Wheat Spring Durum,Wheat Excl Duram,Crops Other,Total crops,Hardwood,Softwood,Total Timber,BLM Grazing,USFS Grazing,Grazing Private Land,Total Grazing,Total HANPP Harvest,Alfalfa,Corn Grain,Corn Silage,Cotton Pima,Cotton Upland,Haylage,Sorghum,Soybeans,Wheat Winter,Wheat Spring,Wheat Excl Duram,Crops Other,Total crops,Hardwood,Softwood,Total Timber,USFS Grazing,BLM Grazing,Grazing Private Land,Total Grazing,Total HANPP Harvest,NPP 2012,NPP Percent
ALPINE,CALIFORNIA,CALIFORNIA_ALPINE,2012,1924460032,,,,0,,,0,0,,,,,0,,6.007329114,6.007329114,85.8958,,,85.8958,91.90312911,0,0,0,0,0,0,0,0,0,0,0,0,0,,3.12157E-09,3.12157E-09,1.151187,0.044633715,,0.044633715,0.047755281,222.599683,0.02
AMADOR,CALIFORNIA,CALIFORNIA_AMADOR,2012,1569560064,,2961.195,,0,,,0,0,545.26,,,,3506.455,,41300.38766,41300.38766,28.7408,,,28.7408,44835.58346,0,1.886640128,0,0,0,0,0,0,0.347396708,0,0,0,2.234036836,,2.63134E-05,2.63134E-05,1.151187,0.018311373,,0.018311373,28.56570098,403.8693,7.07
AMELIA,VIRGINIA,VIRGINIA_AMELIA,2012,928707968,,1459.315,,0,,,0,5946.976,3548.664,,,,10954.955,41256.82115,38374.81838,79631.63953,,,,0,90586.59453,0,1.571338946,0,0,0,0,0,6.403494107,3.821076293,0,0,0,11.79590935,44.42389058,4.13207E-05,44.4239319,,0,,0,97.54045152,499.353048,19.53
AMHERST,VIRGINIA,VIRGINIA_AMHERST,2012,1240470016,,483.8554,,0,,,0,0,137.6528,,,,621.5082,73125.8114,11666.23314,84792.04454,,,,0,85413.55274,0,0.390058118,0,0,0,0,0,0,0.110968261,0,0,0,0.501026379,58.9500838,9.40469E-06,58.9500932,,0,,0,68.85579791,537.434379,12.81
AMITE,MISSISSIPPI,MISSISSIPPI_AMITE,2012,1894620032,,1397.423,,0,,,0,847.4997,346.3539,,,,2591.2766,110223.5753,113670.6815,223894.2568,,,,0,226485.5334,0,0.737574277,0,0,0,0,0,0.447319085,0.182809162,0,0,0,1.367702524,58.17714023,5.99966E-05,58.17720023,,0,,0,119.5414012,511.290534,23.38
ANDERSON,KANSAS,KANSAS_ANDERSON,2012,1511949952,2027.174,30596.27,,0,,,276.14,32405.96,32253.33,,,,97558.874,4715.309781,12.01465823,4727.324439,,,,0,102286.1984,1.340767925,20.23629814,0,0,0,0,0.182638321,21.43322268,21.33227357,0,0,0,64.52520063,3.118694355,7.94647E-09,3.118694363,,0,,0,67.65184145,523.496932,12.92
ANDERSON,TEXAS,TEXAS_ANDERSON,2012,2792039936,,,,0,,,0,0,,,,,0,41445.09123,93600.19492,135045.2862,,,,0,135045.2862,0,0,0,0,0,0,0,0,0,0,0,0,0,14.84401806,3.35239E-05,14.84405158,,0,,0,48.36796366,471.458124,10.26
ANDERSON,TENNESSEE,TENNESSEE_ANDERSON,2012,893033024,,375.7599,,0,,,0,0,,,,,375.7599,39014.69563,114.1392532,39128.83488,,,,0,39504.59478,0,0.420768202,0,0,0,0,0,0,0,0,0,0,0.420768202,43.68785317,1.27811E-07,43.6878533,,0,,0,44.23643216,449.983198,9.83
ANDERSON,SOUTH CAROLINA,SOUTH CAROLINA_ANDERSON,2012,1961699968,,2156.147,,0,,,0,1851.236,3830.24,,,,7837.623,30756.48521,23452.61286,54209.09807,,,,0,62046.72107,0,1.099121698,0,0,0,0,0,0.943689672,1.952510609,0,0,0,3.99532198,15.67848586,1.19552E-05,15.67849782,,0,,0,31.62905749,569.408759,5.55
ANDERSON,KENTUCKY,KENTUCKY_ANDERSON,2012,529075008,4500.196,836.4565,,0,,,0,506.239,,,,,5842.8915,1121.062761,985.2019747,2106.264736,,,,0,7949.156236,8.505780715,1.580979043,0,0,0,0,0,0.956837863,0,0,0,0,11.04359762,2.118910824,1.86212E-06,2.118912686,,0,,0,15.02463,504.489326,2.98
ANDREW,MISSOURI,MISSOURI_ANDREW,2012,1130119936,,83778.66,,0,,,388.2386,53878.48,2658.517,,,,140703.8956,4595.501547,,4595.501547,,,,0,145299.3971,0,74.1325388,0,0,0,0,0.34353752,47.67501066,2.35242023,0,0,0,124.5035072,4.06638393,,4.06638393,,0,,0,128.5698911,603.807539,21.29
ANDREWS,TEXAS,TEXAS_ANDREWS,2012,3888250112,,,,0,594.7872,,1195.423,0,3115.103,,,,4905.3132,,,0,,,,0,4905.3132,0,0,0,0,0.152970406,0,0.307444986,0,0.801158081,0,0,0,1.261573474,,,0,,0,,0,1.261573474,120.93765,1.04
