State,States,COUNTY,County,Species_Group,Growing_Stock,Non_growing_Stock,All_Sources,Growing_Stock,Non_growing_Stock,All_Sources,Growing_Stock,Non_rowing_Stock,All_Sources,Growing_Stock,Non_growing_Stock,All_Sources,Hardwood_Density_lb_ft3,Df,CC,Percentshoot,HANPP_lb_C_perthousand_cubicfeet,TotalHANPP_Harvest_in_Tonnes,HANPP_harvest_used_in_Tonnes,HANPP_Harvest_unused_in_Tonnes,HANPP_Harvest_above_ground_in_Tonnes,HANPP_Harvest_below_ground_in_Tonnes,Stcnty
AR 1997,ARKANSAS,CONWAY,Conway,Hardwood,255,83,338,52,70,122,46,32,78,353,185,538,43,0.78,0.45,0.80,18866,4604,2893,1712,3683,921,ARKANSAS_CONWAY
AR 1997,ARKANSAS,CRAWFORD,Crawford,Hardwood,"1,725",368,"2,093",320,432,752,286,198,484,"2,331",998,"3,329",43,0.78,0.45,0.80,18866,28489,17911,10577,22791,5698,ARKANSAS_CRAWFORD
AR 1997,ARKANSAS,CRITTENDEN,Crittenden,Hardwood,702,154,856,131,177,308,117,81,198,950,412,"1,362",43,0.78,0.45,0.80,18866,11656,7325,4330,9325,2331,ARKANSAS_CRITTENDEN
AR 1997,ARKANSAS,CROSS,Cross,Hardwood,"1,115",235,"1,350",207,278,485,184,128,312,"1,506",641,"2,147",43,0.78,0.45,0.80,18866,18373,11553,6821,14699,3675,ARKANSAS_CROSS
AR 1997,ARKANSAS,DALLAS,Dallas,Hardwood,"2,669",697,"3,366",515,694,"1,209",459,319,778,"3,644","1,709","5,353",43,0.78,0.45,0.80,18866,45810,28805,17004,36648,9162,ARKANSAS_DALLAS
AR 1997,ARKANSAS,DESHA,Desha,Hardwood,"2,357",648,"3,005",460,619,"1,079",410,285,695,"3,227","1,552","4,779",43,0.78,0.45,0.80,18866,40897,25716,15181,32718,8179,ARKANSAS_DESHA
AR 1997,ARKANSAS,DREW,Drew,Hardwood,"10,118","3,183","13,301","2,036","2,742","4,778","1,815","1,260","3,075","13,969","7,185","21,154",43,0.78,0.45,0.80,18866,181030,113826,67204,144824,36206,ARKANSAS_DREW
AR 1997,ARKANSAS,FAULKNER,Faulkner,Hardwood,262,66,328,50,68,118,45,31,76,357,165,522,43,0.78,0.45,0.80,18866,4467,2807,1660,3574,893,ARKANSAS_FAULKNER
AR 1997,ARKANSAS,FRANKLIN,Franklin,Hardwood,"1,666",356,"2,022",309,417,726,276,191,467,"2,251",964,"3,215",43,0.78,0.45,0.80,18866,27513,17304,10209,22010,5503,ARKANSAS_FRANKLIN
AR 1997,ARKANSAS,FULTON,Fulton,Hardwood,"1,453",320,"1,773",270,363,633,240,167,407,"1,963",850,"2,813",43,0.78,0.45,0.80,18866,24073,15173,8900,19258,4815,ARKANSAS_FULTON
AR 1997,ARKANSAS,GARLAND,Garland,Hardwood,"1,747",389,"2,136",327,440,767,292,202,494,"2,365","1,032","3,397",43,0.78,0.45,0.80,18866,29071,18279,10791,23256,5814,ARKANSAS_GARLAND
AR 1997,ARKANSAS,GRANT,Grant,Hardwood,"4,926","1,372","6,298",964,"1,298","2,262",859,597,"1,456","6,749","3,267","10,016",43,0.78,0.45,0.80,18866,85714,53897,31818,68571,17143,ARKANSAS_GRANT
AR 1997,ARKANSAS,GREENE,Greene,Hardwood,346,77,423,65,87,152,58,40,98,469,204,673,43,0.78,0.45,0.80,18866,5759,3620,2139,4607,1152,ARKANSAS_GREENE
AR 1997,ARKANSAS,HEMPSTEAD,Hempstead,Hardwood,"3,698","1,079","4,777",731,985,"1,716",652,452,"1,104","5,081","2,516","7,597",43,0.78,0.45,0.80,18866,65013,40880,24133,52010,13003,ARKANSAS_HEMPSTEAD
AR 1997,ARKANSAS,HOT SPRING,Hot Spring,Hardwood,"1,972",474,"2,446",375,504,879,334,232,566,"2,681","1,210","3,891",43,0.78,0.45,0.80,18866,33298,20932,12366,26639,6660,ARKANSAS_HOT SPRING
AR 1997,ARKANSAS,HOWARD,Howard,Hardwood,"2,478",653,"3,131",479,646,"1,125",427,297,724,"3,385","1,595","4,980",43,0.78,0.45,0.80,18866,42618,26794,15823,34094,8524,ARKANSAS_HOWARD
AR 1997,ARKANSAS,INDEPENDENCE,Independence,Hardwood,"3,331",872,"4,203",643,867,"1,510",574,398,972,"4,549","2,136","6,685",43,0.78,0.45,0.80,18866,57208,35968,21240,45767,11442,ARKANSAS_INDEPENDENCE
AR 1997,ARKANSAS,IZARD,Izard,Hardwood,"1,585",338,"1,923",294,397,691,263,182,445,"2,142",917,"3,059",43,0.78,0.45,0.80,18866,26178,16457,9722,20942,5236,ARKANSAS_IZARD
AR 1997,ARKANSAS,JACKSON,Jackson,Hardwood,"1,354",296,"1,650",253,340,593,225,156,381,"1,831",793,"2,624",43,0.78,0.45,0.80,18866,22455,14120,8335,17964,4491,ARKANSAS_JACKSON
AR 1997,ARKANSAS,JEFFERSON,Jefferson,Hardwood,"3,555",991,"4,546",696,937,"1,633",620,431,"1,051","4,871","2,359","7,230",43,0.78,0.45,0.80,18866,61872,38903,22969,49498,12374,ARKANSAS_JEFFERSON
AR 1997,ARKANSAS,JOHNSON,Johnson,Hardwood,"1,129",241,"1,370",210,282,492,187,130,317,"1,525",654,"2,179",43,0.78,0.45,0.80,18866,18647,11724,6923,14918,3729,ARKANSAS_JOHNSON
AR 1997,ARKANSAS,LAFAYETTE,Lafayette,Hardwood,"2,028",551,"2,579",395,532,927,352,244,596,"2,775","1,327","4,102",43,0.78,0.45,0.80,18866,35104,22070,13033,28083,7021,ARKANSAS_LAFAYETTE
AR 1997,ARKANSAS,LAWRENCE,Lawrence,Hardwood,"1,719",367,"2,086",319,430,749,285,197,482,"2,323",994,"3,317",43,0.78,0.45,0.80,18866,28386,17851,10535,22709,5677,ARKANSAS_LAWRENCE
AR 1997,ARKANSAS,LEE,Lee,Hardwood,"3,718",810,"4,528",693,934,"1,627",618,429,"1,047","5,029","2,173","7,202",43,0.78,0.45,0.80,18866,61633,38749,22883,49306,12327,ARKANSAS_LEE
AR 1997,ARKANSAS,LINCOLN,Lincoln,Hardwood,"8,781","2,787","11,568","1,771","2,385","4,156","1,578","1,096","2,674","12,130","6,268","18,398",43,0.78,0.45,0.80,18866,157445,98996,58449,125956,31489,ARKANSAS_LINCOLN
AR 1997,ARKANSAS,LITTLE RIVER,Little River,Hardwood,"5,195","1,616","6,811","1,043","1,404","2,447",930,645,"1,575","7,167","3,666","10,833",43,0.78,0.45,0.80,18866,92706,58287,34419,74165,18541,ARKANSAS_LITTLE RIVER
AR 1997,ARKANSAS,LOGAN,Logan,Hardwood,690,149,839,128,173,301,115,79,194,933,401,"1,334",43,0.78,0.45,0.80,18866,11416,7180,4236,9133,2283,ARKANSAS_LOGAN
AR 1997,ARKANSAS,LONOKE,Lonoke,Hardwood,"1,640",374,"2,014",309,415,724,275,191,466,"2,223",981,"3,204",43,0.78,0.45,0.80,18866,27419,17235,10184,21935,5484,ARKANSAS_LONOKE
AR 1997,ARKANSAS,MADISON,Madison,Hardwood,"2,323",496,"2,819",432,581,"1,013",385,267,652,"3,139","1,345","4,484",43,0.78,0.45,0.80,18866,38373,24124,14249,30698,7675,ARKANSAS_MADISON
AR 1997,ARKANSAS,MARION,Marion,Hardwood,"1,046",226,"1,272",195,262,457,174,120,294,"1,414",609,"2,023",43,0.78,0.45,0.80,18866,17312,10885,6427,13850,3462,ARKANSAS_MARION
