State,States,COUNTY,County,Species_Group,Growing_Stock,Non_growing_Stock,All_Sources,Growing_Stock,Non_growing_Stock,All_Sources,Growing_Stock,Non_growing_Stock,All_Sources,Growing_Stock,Non_growing_Stock,All_Sources,Hardwood_Density_lb_ft3,Df,CC,Percentshoot,HANPP_lb_C_perthousand_cubicfeet,TotalHANPP_Harvest_in_Tonnes,HANPP_harvest_used_in_Tonnes,HANPP_Harvest_unused_in_Tonnes,HANPP_Harvest_above_ground_in_Tonnes,HANPP_Harvest_below_ground_in_Tonnes,Stcnty
AR 2007,ARKANSAS,CLARK,Clark,Hardwood,"3,086",167,"3,253",838,"1,201","2,039","1,105",330,"1,435","5,029","1,698","6,727",43,0.78,0.45,0.8,18866,57568,27838,29730,46054,11514,ARKANSAS_CLARK
AR 2007,ARKANSAS,CLAY,Clay,Hardwood,531,17,548,141,203,344,186,56,242,859,275,"1,134",43,0.78,0.45,0.8,18866,9704,4690,5015,7764,1941,ARKANSAS_CLAY
AR 2007,ARKANSAS,CLEBURNE,Cleburne,Hardwood,"1,719",85,"1,804",465,666,"1,131",613,183,796,"2,797",934,"3,731",43,0.78,0.45,0.8,18866,31929,15438,16491,25543,6386,ARKANSAS_CLEBURNE
AR 2007,ARKANSAS,CLEVELAND,Cleveland,Hardwood,"5,036",275,"5,311","1,368","1,961","3,329","1,804",539,"2,343","8,209","2,774","10,983",43,0.78,0.45,0.8,18866,93990,45450,48539,75192,18798,ARKANSAS_CLEVELAND
AR 2007,ARKANSAS,COLUMBIA,Columbia,Hardwood,"6,274",402,"6,676","1,720","2,464","4,184","2,268",677,"2,945","10,261","3,544","13,805",43,0.78,0.45,0.8,18866,118139,57131,61008,94512,23628,ARKANSAS_COLUMBIA
AR 2007,ARKANSAS,CONWAY,Conway,Hardwood,"2,303",189,"2,492",642,920,"1,562",846,253,"1,099","3,791","1,362","5,153",43,0.78,0.45,0.8,18866,44098,21326,22772,35278,8820,ARKANSAS_CONWAY
AR 2007,ARKANSAS,CRAIGHEAD,Craighead,Hardwood,896,73,969,249,358,607,329,98,427,"1,474",529,"2,003",43,0.78,0.45,0.8,18866,17141,8292,8849,13713,3428,ARKANSAS_CRAIGHEAD
AR 2007,ARKANSAS,CRAWFORD,Crawford,Hardwood,"1,694",54,"1,748",450,646,"1,096",594,177,771,"2,738",877,"3,615",43,0.78,0.45,0.8,18866,30936,14959,15977,24749,6187,ARKANSAS_CRAWFORD
AR 2007,ARKANSAS,CRITTENDEN,Crittenden,Hardwood,539,17,556,143,206,349,189,56,245,871,279,"1,150",43,0.78,0.45,0.8,18866,9841,4758,5083,7873,1968,ARKANSAS_CRITTENDEN
AR 2007,ARKANSAS,CROSS,Cross,Hardwood,"1,151",35,"1,186",306,438,744,403,120,523,"1,859",594,"2,453",43,0.78,0.45,0.8,18866,20992,10149,10843,16794,4198,ARKANSAS_CROSS
AR 2007,ARKANSAS,DALLAS,Dallas,Hardwood,"3,539",204,"3,743",964,"1,382","2,346","1,271",380,"1,651","5,775","1,965","7,740",43,0.78,0.45,0.8,18866,66237,32032,34205,52989,13247,ARKANSAS_DALLAS
AR 2007,ARKANSAS,DESHA,Desha,Hardwood,"4,890",346,"5,236","1,349","1,933","3,282","1,779",531,"2,310","8,018","2,810","10,828",43,0.78,0.45,0.8,18866,92663,44808,47855,74130,18533,ARKANSAS_DESHA
AR 2007,ARKANSAS,DREW,Drew,Hardwood,"4,696",334,"5,030","1,296","1,857","3,153","1,709",510,"2,219","7,701","2,701","10,402",43,0.78,0.45,0.8,18866,89018,43045,45972,71214,17804,ARKANSAS_DREW
AR 2007,ARKANSAS,FAULKNER,Faulkner,Hardwood,168,5,173,45,64,109,59,17,76,272,86,358,43,0.78,0.45,0.8,18866,3064,1480,1583,2451,613,ARKANSAS_FAULKNER
AR 2007,ARKANSAS,FRANKLIN,Franklin,Hardwood,"1,388",45,"1,433",369,529,898,487,145,632,"2,244",719,"2,963",43,0.78,0.45,0.8,18866,25357,12263,13093,20285,5071,ARKANSAS_FRANKLIN
AR 2007,ARKANSAS,FULTON,Fulton,Hardwood,"1,163",37,"1,200",309,443,752,407,122,529,"1,879",602,"2,481",43,0.78,0.45,0.8,18866,21232,10269,10962,16985,4246,ARKANSAS_FULTON
